abstract,category
"  We present a max-margin nonparametric latent feature model, which unites the
ideas of max-margin learning and Bayesian nonparametrics to discover
discriminative latent features for link prediction and automatically infer the
unknown latent social dimension. By minimizing a hinge-loss using the linear
expectation operator, we can perform posterior inference efficiently without
dealing with a highly nonlinear link likelihood function; by using a
fully-Bayesian formulation, we can avoid tuning regularization constants.
Experimental results on real datasets appear to demonstrate the benefits
inherited from max-margin learning and fully-Bayesian nonparametric inference.
",ML
"  Boundary distance (BD) plotting is a technique for making orientation
invariant comparisons of the spatial distribution of biochemical markers within
and across cells/nuclei. Marker expression is aggregated over points with the
same distance from the boundary. We present a suite of tools for improved data
analysis and statistical inference using BD plotting. BD is computed using the
Euclidean distance transform after presmoothing and oversampling of nuclear
boundaries. Marker distribution profiles are averaged using smoothing with
linearly decreasing bandwidth. Average expression curves are scaled and
registered by x-axis dilation to compensate for uneven lighting and errors in
nuclear boundary marking. Penalized discriminant analysis is used to
characterize the quality of separation between average marker distributions. An
adaptive piecewise linear model is used to compare expression gradients in
intra, peri and extra nuclear zones. The techniques are illustrated by the
following: (a) a two sample problem involving a pair of voltage gated calcium
channels (Cav1.2 and AB70) marked in different cells; (b) a paired sample
problem of calcium channels (Y1F4 and RyR1) marked in the same cell.
",Applied
"  We introduce a recursive adaptive group lasso algorithm for real-time
penalized least squares prediction that produces a time sequence of optimal
sparse predictor coefficient vectors. At each time index the proposed algorithm
computes an exact update of the optimal $\ell_{1,\infty}$-penalized recursive
least squares (RLS) predictor. Each update minimizes a convex but
nondifferentiable function optimization problem. We develop an online homotopy
method to reduce the computational complexity. Numerical simulations
demonstrate that the proposed algorithm outperforms the $\ell_1$ regularized
RLS algorithm for a group sparse system identification problem and has lower
implementation complexity than direct group lasso solvers.
",ML
"  The use of 24-hour ambulatory blood pressure monitoring (ABPM) in clinical
practice and observational epidemiological studies has grown considerably in
the past 25 years. ABPM is a very effective technique for assessing biological,
environmental, and drug effects on blood pressure. In order to enhance the
effectiveness of ABPM for clinical and observational research studies via
analytical and graphical results, developing alternative data analysis
approaches are important. The linear mixed model for the analysis of
longitudinal data is particularly well-suited for the estimation of, inference
about, and interpretation of both population and subject-specific trajectories
for ABPM data. Subject-specific trajectories are of great importance in ABPM
studies, especially in clinical research, but little emphasis has been placed
on this dimension of the problem in the statistical analyses of the data. We
propose using a linear mixed model with orthonormal polynomials across time in
both the fixed and random effects to analyze ABPM data. Orthonormal polynomials
in the linear mixed model may be used to develop model-based, subject-specific
24-hour ABPM correlates of cardiovascular disease outcomes. We demonstrate the
proposed analysis technique using data from the Dietary Approaches to Stop
Hypertension (DASH) study, a multicenter, randomized, parallel arm feeding
study that tested the effects of dietary patterns on blood pressure.
",Applied
"  We study the statistical meaning of the minimization of distortion measure
and the relation between the equilibrium points of the SOM algorithm and the
minima of distortion measure. If we assume that the observations and the map
lie in an compact Euclidean space, we prove the strong consistency of the map
which almost minimizes the empirical distortion. Moreover, after calculating
the derivatives of the theoretical distortion measure, we show that the points
minimizing this measure and the equilibria of the Kohonen map do not match in
general. We illustrate, with a simple example, how this occurs.
",ML
"  We describe the underlying probabilistic interpretation of alpha and beta
divergences. We first show that beta divergences are inherently tied to Tweedie
distributions, a particular type of exponential family, known as exponential
dispersion models. Starting from the variance function of a Tweedie model, we
outline how to get alpha and beta divergences as special cases of Csisz\'ar's
$f$ and Bregman divergences. This result directly generalizes the well-known
relationship between the Gaussian distribution and least squares estimation to
Tweedie models and beta divergence minimization.
",ML
"  Sparse coding has been popularly used as an effective data representation
method in various applications, such as computer vision, medical imaging and
bioinformatics, etc. However, the conventional sparse coding algorithms and its
manifold regularized variants (graph sparse coding and Laplacian sparse
coding), learn the codebook and codes in a unsupervised manner and neglect the
class information available in the training set. To address this problem, in
this paper we propose a novel discriminative sparse coding method based on
multi-manifold, by learning discriminative class-conditional codebooks and
sparse codes from both data feature space and class labels. First, the entire
training set is partitioned into multiple manifolds according to the class
labels. Then, we formulate the sparse coding as a manifold-manifold matching
problem and learn class-conditional codebooks and codes to maximize the
manifold margins of different classes. Lastly, we present a data point-manifold
matching error based strategy to classify the unlabeled data point.
Experimental results on somatic mutations identification and breast tumors
classification in ultrasonic images tasks demonstrate the efficacy of the
proposed data representation-classification approach.
",ML
"  Graphical models with bi-directed edges (<->) represent marginal
independence: the absence of an edge between two vertices indicates that the
corresponding variables are marginally independent. In this paper, we consider
maximum likelihood estimation in the case of continuous variables with a
Gaussian joint distribution, sometimes termed a covariance graph model. We
present a new fitting algorithm which exploits standard regression techniques
and establish its convergence properties. Moreover, we contrast our procedure
to existing estimation methods.
",ML
"  We introduce a new method for training deep Boltzmann machines jointly. Prior
methods require an initial learning pass that trains the deep Boltzmann machine
greedily, one layer at a time, or do not perform well on classifi- cation
tasks.
",ML
"  Variable selection in high-dimensional space characterizes many contemporary
problems in scientific discovery and decision making. Many frequently-used
techniques are based on independence screening; examples include correlation
ranking (Fan and Lv, 2008) or feature selection using a two-sample t-test in
high-dimensional classification (Tibshirani et al., 2003). Within the context
of the linear model, Fan and Lv (2008)showed that this simple correlation
ranking possesses a sure independence screening property under certain
conditions and that its revision, called iteratively sure independent screening
(ISIS), is needed when the features are marginally unrelated but jointly
related to the response variable. In this paper, we extend ISIS, without
explicit definition of residuals, to a general pseudo-likelihood framework,
which includes generalized linear models as a special case. Even in the
least-squares setting, the new method improves ISIS by allowing variable
deletion in the iterative process. Our technique allows us to select important
features in high-dimensional classification where the popularly used two-sample
t-method fails. A new technique is introduced to reduce the false discovery
rate in the feature screening stage. Several simulated and two real data
examples are presented to illustrate the methodology.
",ML
"  Approximate dynamic programming is a popular method for solving large Markov
decision processes. This paper describes a new class of approximate dynamic
programming (ADP) methods- distributionally robust ADP-that address the curse
of dimensionality by minimizing a pessimistic bound on the policy loss. This
approach turns ADP into an optimization problem, for which we derive new
mathematical program formulations and analyze its properties. DRADP improves on
the theoretical guarantees of existing ADP methods-it guarantees convergence
and L1 norm based error bounds. The empirical evaluation of DRADP shows that
the theoretical guarantees translate well into good performance on benchmark
problems.
",ML
"  Respondent-driven sampling (RDS) is a widely used method for sampling from
hard-to-reach human populations, especially groups most at-risk for HIV/AIDS.
Data are collected through a peer-referral process in which current sample
members harness existing social networks to recruit additional sample members.
RDS has proven to be a practical method of data collection in many difficult
settings and has been adopted by leading public health organizations around the
world. Unfortunately, inference from RDS data requires many strong assumptions
because the sampling design is not fully known and is partially beyond the
control of the researcher. In this paper, we introduce diagnostic tools for
most of the assumptions underlying RDS inference. We also apply these
diagnostics in a case study of 12 populations at increased risk for HIV/AIDS.
We developed these diagnostics to enable RDS researchers to better understand
their data and to encourage future statistical research on RDS.
",Applied
"  We analyze the generalized Mallows model, a popular exponential model over
rankings. Estimating the central (or consensus) ranking from data is NP-hard.
We obtain the following new results: (1) We show that search methods can
estimate both the central ranking pi0 and the model parameters theta exactly.
The search is n! in the worst case, but is tractable when the true distribution
is concentrated around its mode; (2) We show that the generalized Mallows model
is jointly exponential in (pi0; theta), and introduce the conjugate prior for
this model class; (3) The sufficient statistics are the pairwise marginal
probabilities that item i is preferred to item j. Preliminary experiments
confirm the theoretical predictions and compare the new algorithm and existing
heuristics.
",ML
"  Ensembles of classification and regression trees remain popular machine
learning methods because they define flexible non-parametric models that
predict well and are computationally efficient both during training and
testing. During induction of decision trees one aims to find predicates that
are maximally informative about the prediction target. To select good
predicates most approaches estimate an information-theoretic scoring function,
the information gain, both for classification and regression problems. We point
out that the common estimation procedures are biased and show that by replacing
them with improved estimators of the discrete and the differential entropy we
can obtain better decision trees. In effect our modifications yield improved
predictive performance and are simple to implement in any decision tree code.
",ML
"  Conditional Random Fields (CRFs) are undirected graphical models, a special
case of which correspond to conditionally-trained finite state machines. A key
advantage of these models is their great flexibility to include a wide array of
overlapping, multi-granularity, non-independent features of the input. In face
of this freedom, an important question that remains is, what features should be
used? This paper presents a feature induction method for CRFs. Founded on the
principle of constructing only those feature conjunctions that significantly
increase log-likelihood, the approach is based on that of Della Pietra et al
[1997], but altered to work with conditional rather than joint probabilities,
and with additional modifications for providing tractability specifically for a
sequence model. In comparison with traditional approaches, automated feature
induction offers both improved accuracy and more than an order of magnitude
reduction in feature count; it enables the use of richer, higher-order Markov
models, and offers more freedom to liberally guess about which atomic features
may be relevant to a task. The induction method applies to linear-chain CRFs,
as well as to more arbitrary CRF structures, also known as Relational Markov
Networks [Taskar & Koller, 2002]. We present experimental results on a named
entity extraction task.
",ML
"  We present a novel clustering approach for moving object trajectories that
are constrained by an underlying road network. The approach builds a similarity
graph based on these trajectories then uses modularity-optimization hiearchical
graph clustering to regroup trajectories with similar profiles. Our
experimental study shows the superiority of the proposed approach over classic
hierarchical clustering and gives a brief insight to visualization of the
clustering results.
",ML
"  Gaussian process (GP) predictors are an important component of many Bayesian
approaches to machine learning. However, even a straightforward implementation
of Gaussian process regression (GPR) requires O(n^2) space and O(n^3) time for
a dataset of n examples. Several approximation methods have been proposed, but
there is a lack of understanding of the relative merits of the different
approximations, and in what situations they are most useful. We recommend
assessing the quality of the predictions obtained as a function of the compute
time taken, and comparing to standard baselines (e.g., Subset of Data and
FITC). We empirically investigate four different approximation algorithms on
four different prediction problems, and make our code available to encourage
future comparisons.
",ML
"  For any family of measurable sets in a probability space, we show that either
(i) the family has infinite Vapnik-Chervonenkis (VC) dimension or (ii) for
every epsilon > 0 there is a finite partition pi such the pi-boundary of each
set has measure at most epsilon. Immediate corollaries include the fact that a
family with finite VC dimension has finite bracketing numbers, and satisfies
uniform laws of large numbers for every ergodic process. From these
corollaries, we derive analogous results for VC major and VC graph families of
functions.
",ML
"  The stationary distribution of allele frequencies under a variety of
Wright--Fisher $k$-allele models with selection and parent independent mutation
is well studied. However, the statistical properties of maximum likelihood
estimates of parameters under these models are not well understood. Under each
of these models there is a point in data space which carries the strongest
possible signal for selection, yet, at this point, the likelihood is unbounded.
This result remains valid even if all of the mutation parameters are assumed to
be known. Therefore, standard simulation approaches used to approximate the
sampling distribution of the maximum likelihood estimate produce numerically
unstable results in the presence of substantial selection. We describe the
Bayesian alternative where the posterior distribution tends to produce more
accurate and reliable interval estimates for the selection intensity at a
locus.
",Applied
"  We describe a nonparametric topic model for labeled data. The model uses a
mixture of random measures (MRM) as a base distribution of the Dirichlet
process (DP) of the HDP framework, so we call it the DP-MRM. To model labeled
data, we define a DP distributed random measure for each label, and the
resulting model generates an unbounded number of topics for each label. We
apply DP-MRM on single-labeled and multi-labeled corpora of documents and
compare the performance on label prediction with MedLDA, LDA-SVM, and
Labeled-LDA. We further enhance the model by incorporating ddCRP and modeling
multi-labeled images for image segmentation and object labeling, comparing the
performance with nCuts and rddCRP.
",ML
"  The stochastic block model is a powerful tool for inferring community
structure from network topology. However, it predicts a Poisson degree
distribution within each community, while most real-world networks have a
heavy-tailed degree distribution. The degree-corrected block model can
accommodate arbitrary degree distributions within communities. But since it
takes the vertex degrees as parameters rather than generating them, it cannot
use them to help it classify the vertices, and its natural generalization to
directed graphs cannot even use the orientations of the edges. In this paper,
we present variants of the block model with the best of both worlds: they can
use vertex degrees and edge orientations in the classification process, while
tolerating heavy-tailed degree distributions within communities. We show that
for some networks, including synthetic networks and networks of word
adjacencies in English text, these new block models achieve a higher accuracy
than either standard or degree-corrected block models.
",ML
"  Typical cohorts in brain imaging studies are not large enough for systematic
testing of all the information contained in the images. To build testable
working hypotheses, investigators thus rely on analysis of previous work,
sometimes formalized in a so-called meta-analysis. In brain imaging, this
approach underlies the specification of regions of interest (ROIs) that are
usually selected on the basis of the coordinates of previously detected
effects. In this paper, we propose to use a database of images, rather than
coordinates, and frame the problem as transfer learning: learning a
discriminant model on a reference task to apply it to a different but related
new task. To facilitate statistical analysis of small cohorts, we use a sparse
discriminant model that selects predictive voxels on the reference task and
thus provides a principled procedure to define ROIs. The benefits of our
approach are twofold. First it uses the reference database for prediction, i.e.
to provide potential biomarkers in a clinical setting. Second it increases
statistical power on the new task. We demonstrate on a set of 18 pairs of
functional MRI experimental conditions that our approach gives good prediction.
In addition, on a specific transfer situation involving different scanners at
different locations, we show that voxel selection based on transfer learning
leads to higher detection power on small cohorts.
",ML
"  This paper proposes a new probabilistic classification algorithm using a
Markov random field approach. The joint distribution of class labels is
explicitly modelled using the distances between feature vectors. Intuitively, a
class label should depend more on class labels which are closer in the feature
space, than those which are further away. Our approach builds on previous work
by Holmes and Adams (2002, 2003) and Cucala et al. (2008). Our work shares many
of the advantages of these approaches in providing a probabilistic basis for
the statistical inference. In comparison to previous work, we present a more
efficient computational algorithm to overcome the intractability of the Markov
random field model. The results of our algorithm are encouraging in comparison
to the k-nearest neighbour algorithm.
",Applied
"  This paper presents a dynamic linear model for modeling hourly ozone
concentrations over the eastern United States. That model, which is developed
within an Bayesian hierarchical framework, inherits the important feature of
such models that its coefficients, treated as states of the process, can change
with time. Thus the model includes a time--varying site invariant mean field as
well as time varying coefficients for 24 and 12 diurnal cycle components. This
cost of this model's great flexibility comes at the cost of computational
complexity, forcing us to use an MCMC approach and to restrict application of
our model domain to a small number of monitoring sites. We critically assess
this model and discover some of its weaknesses in this type of application.
",Applied
"  The proliferation of models for networks raises challenging problems of model
selection: the data are sparse and globally dependent, and models are typically
high-dimensional and have large numbers of latent variables. Together, these
issues mean that the usual model-selection criteria do not work properly for
networks. We illustrate these challenges, and show one way to resolve them, by
considering the key network-analysis problem of dividing a graph into
communities or blocks of nodes with homogeneous patterns of links to the rest
of the network. The standard tool for doing this is the stochastic block model,
under which the probability of a link between two nodes is a function solely of
the blocks to which they belong. This imposes a homogeneous degree distribution
within each block; this can be unrealistic, so degree-corrected block models
add a parameter for each node, modulating its over-all degree. The choice
between ordinary and degree-corrected block models matters because they make
very different inferences about communities. We present the first principled
and tractable approach to model selection between standard and degree-corrected
block models, based on new large-graph asymptotics for the distribution of
log-likelihood ratios under the stochastic block model, finding substantial
departures from classical results for sparse graphs. We also develop
linear-time approximations for log-likelihoods under both the stochastic block
model and the degree-corrected model, using belief propagation. Applications to
simulated and real networks show excellent agreement with our approximations.
Our results thus both solve the practical problem of deciding on degree
correction, and point to a general approach to model selection in network
analysis.
",ML
"  Detection of rare variants by resequencing is important for the
identification of individuals carrying disease variants. Rapid sequencing by
new technologies enables low-cost resequencing of target regions, although it
is still prohibitive to test more than a few individuals. In order to improve
cost trade-offs, it has recently been suggested to apply pooling designs which
enable the detection of carriers of rare alleles in groups of individuals.
However, this was shown to hold only for a relatively low number of individuals
in a pool, and requires the design of pooling schemes for particular cases.
  We propose a novel pooling design, based on a compressed sensing approach,
which is both general, simple and efficient. We model the experimental
procedure and show via computer simulations that it enables the recovery of
rare allele carriers out of larger groups than were possible before, especially
in situations where high coverage is obtained for each individual.
  Our approach can also be combined with barcoding techniques to enhance
performance and provide a feasible solution based on current resequencing
costs. For example, when targeting a small enough genomic region (~100
base-pairs) and using only ~10 sequencing lanes and ~10 distinct barcodes, one
can recover the identity of 4 rare allele carriers out of a population of over
4000 individuals.
",Applied
"  In this paper, we propose a Bayesian MAP estimator for solving the
deconvolution problems when the observations are corrupted by Poisson noise.
Towards this goal, a proper data fidelity term (log-likelihood) is introduced
to reflect the Poisson statistics of the noise. On the other hand, as a prior,
the images to restore are assumed to be positive and sparsely represented in a
dictionary of waveforms such as wavelets or curvelets. Both analysis and
synthesis-type sparsity priors are considered. Piecing together the data
fidelity and the prior terms, the deconvolution problem boils down to the
minimization of non-smooth convex functionals (for each prior). We establish
the well-posedness of each optimization problem, characterize the corresponding
minimizers, and solve them by means of proximal splitting algorithms
originating from the realm of non-smooth convex optimization theory.
Experimental results are conducted to demonstrate the potential applicability
of the proposed algorithms to astronomical imaging datasets.
",Applied
"  One conjecture in both deep learning and classical connectionist viewpoint is
that the biological brain implements certain kinds of deep networks as its
back-end. However, to our knowledge, a detailed correspondence has not yet been
set up, which is important if we want to bridge between neuroscience and
machine learning. Recent researches emphasized the biological plausibility of
Linear-Nonlinear-Poisson (LNP) neuron model. We show that with neurally
plausible settings, the whole network is capable of representing any Boltzmann
machine and performing a semi-stochastic Bayesian inference algorithm lying
between Gibbs sampling and variational inference.
",ML
"  Estimation of small failure probabilities is one of the most important and
challenging computational problems in reliability engineering. The failure
probability is usually given by an integral over a high-dimensional uncertain
parameter space that is difficult to evaluate numerically. This paper focuses
on enhancements to Subset Simulation (SS), proposed by Au and Beck, which
provides an efficient algorithm based on MCMC (Markov chain Monte Carlo)
simulation for computing small failure probabilities for general
high-dimensional reliability problems. First, we analyze the Modified
Metropolis algorithm (MMA), an MCMC technique, which is used in SS for sampling
from high-dimensional conditional distributions. We present some observations
on the optimal scaling of MMA, and develop an optimal scaling strategy for this
algorithm when it is employed within SS. Next, we provide a theoretical basis
for the optimal value of the conditional failure probability $p_0$, an
important parameter one has to choose when using SS. Finally, a Bayesian
post-processor SS+ for the original SS method is developed where the uncertain
failure probability that one is estimating is modeled as a stochastic variable
whose possible values belong to the unit interval. Simulated samples from SS
are viewed as informative data relevant to the system's reliability. Instead of
a single real number as an estimate, SS+ produces the posterior PDF of the
failure probability, which takes into account both prior information and the
information in the sampled data. This PDF quantifies the uncertainty in the
value of the failure probability and it may be further used in risk analyses to
incorporate this uncertainty. The relationship between the original SS and SS+
is also discussed
",Applied
"  We study a problem of distributed detection of a stationary point event in a
large extent wireless sensor network ($\wsn$), where the event influences the
observations of the sensors only in the vicinity of where it occurs. An event
occurs at an unknown time and at a random location in the coverage region (or
region of interest ($\ROI$)) of the $\wsn$. We consider a general sensing model
in which the effect of the event at a sensor node depends on the distance
between the event and the sensor node; in particular, in the Boolean sensing
model, all sensors in a disk of a given radius around the event are equally
affected. Following the prior work reported in
\cite{nikiforov95change_isolation},
\cite{nikiforov03lower-bound-for-det-isolation},
\cite{tartakovsky08multi-decision}, {\em the problem is formulated as that of
detecting the event and locating it to a subregion of the $\ROI$ as early as
possible under the constraints that the average run length to false alarm
($\tfa$) is bounded below by $\gamma$, and the probability of false isolation
($\pfi$) is bounded above by $\alpha$}, where $\gamma$ and $\alpha$ are target
performance requirements. In this setting, we propose distributed procedures
for event detection and isolation (namely $\mx$, $\all$, and $\hall$), based on
the local fusion of $\CUSUM$s at the sensors. For these procedures, we obtain
bounds on the maximum mean detection/isolation delay ($\add$), and on $\tfa$
and $\pfi$, and thus provide an upper bound on $\add$ as
$\min\{\gamma,1/\alpha\} \to \infty$. For the Boolean sensing model, we show
that an asymptotic upper bound on the maximum mean detection/isolation delay of
our distributed procedure scales with $\gamma$ and $\alpha$ in the same way as
the asymptotically optimal centralised procedure
\cite{nikiforov03lower-bound-for-det-isolation}.
",Applied
"  We consider the problem of bandwidth selection by cross-validation from a
sequential point of view in a nonparametric regression model. Having in mind
that in applications one often aims at estimation, prediction and change
detection simultaneously, we investigate that approach for sequential kernel
smoothers in order to base these tasks on a single statistic. We provide
uniform weak laws of large numbers and weak consistency results for the
cross-validated bandwidth. Extensions to weakly dependent error terms are
discussed as well. The errors may be {\alpha}-mixing or L2-near epoch
dependent, which guarantees that the uniform convergence of the cross
validation sum and the consistency of the cross-validated bandwidth hold true
for a large class of time series. The method is illustrated by analyzing
photovoltaic data.
",Applied
